lap,t_in_lap,dist_m,speed_kph,rpm,gear,throttle_pct,brake_pct,drs_available,gap_sec,closing_speed_kph,battery_soc_pct,deploy_kw,energy_used_lap_mj,tyre_age,mode_ground_truth,overtake_attempted,overtake_success
1,0.0,0.0,0.0,10553,1,37,100,True,0.0,0.0,76.6,-40.0,0.0,1,Harvest,True,True
1,0.0,0.0,0.0,10608,1,37,100,True,0.16,0.0,76.6,-40.0,0.0,1,Harvest,False,False
1,0.0001,0.5,6.0,8508,1,37,0,True,0.12,0.0,76.6,0.0,0.0,1,Balance,False,False
1,0.0002,1.0,6.0,6548,1,37,0,True,0.206,-3.59,76.6,0.0,0.0,1,Balance,False,False
1,0.0005,2.8,23.0,4588,1,37,0,True,0.102,5.19,76.7,0.0,0.0,1,Balance,False,False
1,0.0008,4.5,30.0,4379,1,38,0,True,0.068,3.4,76.7,0.0,0.0,1,Balance,False,False
1,0.0014,7.6,41.0,5175,1,41,0,True,0.05,1.95,76.7,0.0,0.0,1,Balance,False,False
1,0.002,10.8,48.0,6519,1,49,0,True,0.047,0.55,76.7,0.0,0.0,1,Balance,False,False
1,0.0025,13.5,48.0,7487,1,54,0,True,0.072,-6.14,76.7,0.0,0.0,1,Balance,False,False
1,0.0034,18.9,69.0,9099,1,60,0,True,0.059,2.53,76.7,0.0,0.0,1,Balance,False,False
1,0.0055,30.0,91.0,11227,1,67,0,True,0.049,1.57,76.7,0.0,0.0,1,Balance,False,False
1,0.0072,39.3,105.0,11573,1,82,0,True,0.043,1.75,76.7,0.0,0.0,1,Balance,False,False
1,0.0085,46.9,114.0,11703,2,86,0,True,0.041,0.72,76.7,0.0,0.0,1,Balance,False,False
1,0.0104,56.9,128.0,10885,2,87,0,True,0.043,-0.56,76.6,104.4,0.029,1,Overtake,False,False
1,0.0114,62.8,132.0,11467,3,94,0,True,0.046,-2.57,76.6,112.8,0.047,1,Overtake,False,False
1,0.0132,72.6,147.0,11570,3,94,0,True,0.049,-1.74,76.5,112.8,0.074,1,Overtake,False,False
1,0.0151,82.7,152.0,10224,4,100,0,True,0.061,-7.47,76.5,120.0,0.103,1,Overtake,False,False
1,0.0181,99.2,166.0,10815,4,100,0,True,0.068,-3.29,76.4,120.0,0.146,1,Overtake,False,False
1,0.0213,116.7,175.0,11453,4,100,0,True,0.073,-2.38,76.3,120.0,0.189,1,Overtake,False,False
1,0.0227,124.9,183.0,11603,4,100,0,True,0.069,4.0,76.2,120.0,0.209,1,Overtake,False,False
1,0.0243,133.4,191.0,11463,4,100,0,True,0.061,9.51,76.2,120.0,0.228,1,Overtake,False,False
1,0.0266,146.4,194.0,10793,4,100,0,True,0.066,-4.19,76.1,120.0,0.257,1,Overtake,False,False
1,0.0286,157.1,194.0,10903,5,100,0,True,0.076,-10.0,76.0,120.0,0.281,1,Overtake,False,False
1,0.0313,171.7,219.0,10949,5,100,0,True,0.06,13.5,76.0,120.0,0.31,1,Overtake,False,False
